13:15:26 | INFO | Application   | init_logger | Logger initialized for 'Application  ' → log/text\2025-11-07.log
13:15:26 | INFO | Inferences | init_logger | Logger initialized for 'Inferences' → log/text\2025-11-07.log
13:30:53 | INFO | Application   | init_logger | Logger initialized for 'Application  ' → log/text\2025-11-07.log
13:30:53 | INFO | Inferences | init_logger | Logger initialized for 'Inferences' → log/text\2025-11-07.log
13:30:53 | INFO | Model_Handler | init_logger | Logger initialized for 'Model_Handler' → log/text\2025-11-07.log
13:30:53 | INFO | Mail Sended | init_logger | Logger initialized for 'Mail Sended' → log/text\2025-11-07.log
13:30:53 | INFO | Processor     | init_logger | Logger initialized for 'Processor    ' → log/text\2025-11-07.log
13:30:55 | INFO | Interface     | init_logger | Logger initialized for 'Interface    ' → log/text\2025-11-07.log
13:30:56 | INFO | IO | init_logger | Logger initialized for 'IO' → log/text\2025-11-07.log
13:30:57 | INFO | Model_Handler | initialize_model | Model loaded successfully.
13:30:58 | INFO | Interface     | __init__ | UI initialized and ready.
13:30:58 | WARNING | IO | init_serial | RFID not found — starting watcher.
13:30:58 | WARNING | IO | init_serial | RFID not found — starting watcher.
13:31:00 | ERROR | IO | open_camera | Failed to open camera (index=0)
13:31:06 | ERROR | IO | _emg_loop | Emergency loop error: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.1:502]
13:31:10 | INFO | Interface     | closeEvent | Application closed by user.
14:49:15 | INFO | Application   | init_logger | Logger initialized for 'Application  ' → log/text\2025-11-07.log
14:49:15 | INFO | Inferences | init_logger | Logger initialized for 'Inferences' → log/text\2025-11-07.log
14:49:15 | INFO | Model_Handler | init_logger | Logger initialized for 'Model_Handler' → log/text\2025-11-07.log
14:49:16 | INFO | Mail Sended | init_logger | Logger initialized for 'Mail Sended' → log/text\2025-11-07.log
14:49:16 | INFO | Processor     | init_logger | Logger initialized for 'Processor    ' → log/text\2025-11-07.log
14:49:16 | INFO | Interface     | init_logger | Logger initialized for 'Interface    ' → log/text\2025-11-07.log
14:49:17 | INFO | IO | init_logger | Logger initialized for 'IO' → log/text\2025-11-07.log
14:49:18 | INFO | Model_Handler | initialize_model | Model loaded successfully.
14:49:18 | INFO | Interface     | __init__ | UI initialized and ready.
14:49:18 | WARNING | IO | init_serial | RFID not found — starting watcher.
14:49:18 | WARNING | IO | init_serial | RFID not found — starting watcher.
14:49:20 | ERROR | IO | open_camera | Failed to open camera (index=0)
14:49:26 | ERROR | IO | _emg_loop | Emergency loop error: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.1:502]
14:49:33 | ERROR | IO | _emg_loop | Emergency loop error: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.1:502]
14:49:38 | INFO | Interface     | closeEvent | Application closed by user.
14:50:34 | INFO | Application   | init_logger | Logger initialized for 'Application  ' → log/text\2025-11-07.log
14:50:34 | INFO | Inferences | init_logger | Logger initialized for 'Inferences' → log/text\2025-11-07.log
14:50:34 | INFO | Model_Handler | init_logger | Logger initialized for 'Model_Handler' → log/text\2025-11-07.log
14:50:34 | INFO | Mail Sended | init_logger | Logger initialized for 'Mail Sended' → log/text\2025-11-07.log
14:50:34 | INFO | Processor     | init_logger | Logger initialized for 'Processor    ' → log/text\2025-11-07.log
14:50:34 | INFO | Interface     | init_logger | Logger initialized for 'Interface    ' → log/text\2025-11-07.log
14:50:34 | INFO | IO | init_logger | Logger initialized for 'IO' → log/text\2025-11-07.log
14:50:35 | INFO | Model_Handler | initialize_model | Model loaded successfully.
14:50:36 | INFO | Interface     | __init__ | UI initialized and ready.
14:50:36 | WARNING | IO | init_serial | RFID not found — starting watcher.
14:50:36 | WARNING | IO | init_serial | RFID not found — starting watcher.
14:50:38 | ERROR | IO | open_camera | Failed to open camera (index=0)
14:50:44 | ERROR | IO | _emg_loop | Emergency loop error: Modbus Error: [Connection] Failed to connect[ModbusTcpClient 10.0.0.1:502]
14:50:49 | INFO | Interface     | closeEvent | Application closed by user.
